scene_floor,init_x,init_y,init_z,init_angle
00001-UVdNNRcVyV1_0,-11.577584,0.12231609,4.8063526,5.430893688537572
00001-UVdNNRcVyV1_1,-3.103476,4.1223164,1.6388841,2.9576748045511385
00002-FxCkHAfgh7A_0,8.520547,0.10579625,8.6900015,6.212212566677535
00003-NtVbfPCkBFy_0,11.10367,0.12933767,-1.8202419,4.336686276209518
00004-VqCaAuuoeWk_0,10.067051,-0.26091176,-2.140236,2.270380976942764
00004-VqCaAuuoeWk_1,1.551065,0.13908827,-3.0018978,5.7500514228165445
00005-yPKGKBCyYx8_0,-1.8713741,0.007946923,-2.4184825,5.797478602570641
00005-yPKGKBCyYx8_1,-1.8713741,0.007946923,-2.4184825,6.047001979267141
00006-HkseAnWCgqk_0,-4.550916,-0.007398039,3.301533,1.3313821695635324
00006-HkseAnWCgqk_1,-3.518601,2.992602,1.9987932,6.010803801388699
00006-HkseAnWCgqk_2,-3.518601,2.992602,1.9987932,6.074991079124947
00007-UQuchpekHRJ_0,-5.6814175,-1.3193073,1.6377528,4.699280648142944
00007-UQuchpekHRJ_1,7.2322655,1.5289836,0.32084066,1.5594492836753382
00008-VYnUX657cVo_0,-3.2491088,0.15337181,0.7496657,5.358385853363812
00009-vLpv2VX547B_0,-10.1472645,0.1100986,0.97545594,0.7843742422640531
00010-DBjEcHFg4oq_0,-3.0520132,0.101925015,9.782017,0.9274030276643562
00011-1W61QJVDBqe_0,-15.08484,-2.712007,4.0343976,4.238024932423669
00011-1W61QJVDBqe_1,-0.88669735,0.08799291,-0.12959987,1.445823749567611
00011-1W61QJVDBqe_2,-20.457933,3.4879928,1.5571927,1.9009857612541272
00012-kDgLKdMd5X8_0,-0.28219128,-2.466888,1.9661651,1.1399082349433232
00012-kDgLKdMd5X8_1,-4.9120803,0.13311195,1.0683318,0.27140225293289266
00013-sfbj7jspYWj_0,-9.178961,0.13628712,0.6663609,5.186629257401719
00013-sfbj7jspYWj_1,-9.178961,0.13628712,0.6663609,1.075660319532478
00014-nYYcLpSzihC_0,-15.524454,0.011473477,-2.1546495,1.0114557357654421
00014-nYYcLpSzihC_1,-15.524454,0.011473477,-2.1546495,0.5990313704213551
00015-LPwS1aEGXBb_0,-1.624858,0.12857509,0.6066272,1.2070072351361538
00015-LPwS1aEGXBb_1,-9.538084,3.128575,-3.030962,5.475018959416066
00016-qk9eeNeR4vw_0,-3.1279879,0.08975834,-1.5402794,3.5956395293191927
00017-oEPjPNSPmzL_0,3.2697532,0.014520451,1.1706665,2.8245416918629447
00018-as8Y8AYx6yW_0,10.008074,-2.665283,-3.607695,4.911436972516867
00018-as8Y8AYx6yW_1,14.732698,-0.06528306,-5.1165094,2.108611159780476
00018-as8Y8AYx6yW_2,6.467158,2.734717,-0.8752215,2.2803036980989706
00019-AfKhsVmG8L4_0,-4.4756846,0.12592593,-1.3850782,3.5548883431417457
00019-AfKhsVmG8L4_1,-0.5887816,2.925926,-0.2623083,5.267055142068044
00020-XYyR54sxe6b_0,-4.3363304,0.11707705,-0.42023844,4.488403103376116
00021-yQESfVcg18k_0,-0.60511345,-3.30196,-0.07988791,5.444741846515519
00021-yQESfVcg18k_1,6.214303,0.098040104,0.77472186,4.418952257021428
00022-gmuS7Wgsbrx_0,6.4821105,0.071398646,-0.9260713,1.5800911413376524
00022-gmuS7Wgsbrx_1,6.6359444,4.2713985,-10.431018,2.453554153384054
00023-zepmXAdrpjR_0,0.6229885,-0.27249485,7.937983,5.545326999112083
00023-zepmXAdrpjR_1,0.22858658,0.12750515,5.6911354,5.094663214814953
00024-XNoaAZwsWKk_0,-5.691828,-2.6327398,5.5029383,0.06913273361784453
00024-XNoaAZwsWKk_1,-3.4456937,0.16726017,1.350569,1.9416734666894915
00025-ixTj1aTMup2_0,1.3078127,-2.792084,-3.4658864,1.9661480419214656
00025-ixTj1aTMup2_1,-3.7423625,0.007915974,-3.1781282,4.246972533177418
00025-ixTj1aTMup2_2,1.8802505,3.2079163,-3.4003215,3.8388548549463253
00026-tzaZQQmUVXZ_0,4.0005302,0.030465677,0.4519479,5.313410431964465
00027-cVppJowrUqs_0,-3.4118438,0.07349701,-1.4464768,5.671820608948603
00028-xGnehmjiCSA_0,18.711082,-0.015441984,-1.0866683,1.797481857449001
00029-4wCTuaUNWEd_0,9.91088,-1.6599838,-2.5245793,3.1240211748691125
00029-4wCTuaUNWEd_1,8.130456,1.1400163,-1.9827299,1.860319390095591
00030-LPEMkRVudUm_0,6.032025,0.06316152,-5.511137,2.525083972197017
00031-Wo6kuutE9i7_0,3.3735437,0.17635944,0.27659184,4.055840547197216
00032-jTTGECZYKRA_0,1.080466,-1.429979,0.6032069,4.528622988835057
00032-jTTGECZYKRA_1,8.831876,1.770021,3.3129227,2.204006590215858
00033-oPj9qMxrDEa_0,1.8951778,0.13368353,5.9502616,5.982093301816283
00034-6imZUJGRUq4_0,0.86341584,-2.4899135,2.0673714,4.3427203675419
00034-6imZUJGRUq4_1,-2.6508427,-1.4899136,-2.5614052,2.52055250490788
00034-6imZUJGRUq4_2,-0.5227922,0.11008644,2.8931022,5.274060794439494
00035-3XYAD64HpDr_0,1.3087387,-2.961581,-1.5008274,3.512811944365713
00036-41FNXLAZZgC_0,9.4111185,0.11140156,-3.2735093,3.6334630264552685
00037-oKFJo8jpzRW_0,1.2961874,0.0024396926,7.820901,0.7861648339633884
00038-aJg466zMSNt_0,8.656054,-0.6202939,0.14224789,6.102415587472643
00039-ANmWrL7Kz7h_0,2.3142595,-2.513236,-3.51969,2.530508402476988
00039-ANmWrL7Kz7h_1,-0.27306265,0.08676386,0.39017826,5.277343203998938
00039-ANmWrL7Kz7h_2,-0.7345946,2.686764,1.8129134,5.223338455767599
00040-ZB8o8rMmPdB_0,5.2616115,-2.8670826,5.1996965,4.7968593822658105
00040-ZB8o8rMmPdB_1,0.022105187,0.1329174,6.9974155,5.603828252450913
00040-ZB8o8rMmPdB_2,7.432087,3.1329176,7.0920515,5.554068069040915
00041-QKfBMSSy7Hy_0,4.9972396,-2.9578657,3.074495,1.5270231578217863
00041-QKfBMSSy7Hy_1,2.0299776,0.042134285,2.8471444,3.025319801506283
00041-QKfBMSSy7Hy_2,7.0003934,3.2421343,2.352017,0.8504345039189474
00042-qDjhFcNqFPi_0,1.6799649,-2.4343584,-0.3034306,2.724410973649024
00043-Jfyvj3xn2aJ_0,-7.0591526,0.08946733,-4.124879,4.363353780685697
00043-Jfyvj3xn2aJ_1,-7.0591526,0.08946733,-4.124879,4.398194043508052
00044-kuxpR2xHUBa_0,3.9416337,0.086312994,-4.1733704,3.829363527079398
00046-UQ5EhY5wve1_0,-10.541242,-3.021883,0.3311184,5.051136322182655
00046-UQ5EhY5wve1_1,-7.47127,0.17811704,0.13759792,6.24721477996233
