scene,floor,question,choices,question_formatted,answer,label,source_image
00797-99ML7CGPqsQ,0,Is the door color darker than the ceiling color?,"['Yes', 'No', 'They are the same color', 'The ceiling is darker']",Is the door color darker than the ceiling color? A) Yes B) No C) They are the same color D) The ceiling is darker. Answer:,A,Comparison,00797-99ML7CGPqsQ_0.png
00672-4L4peQsMgfR,0,Is the bed in the bedroom bigger than the bed in the attic?,"['Yes', 'No', 'They are the same size', 'Cannot be determined']",Is the bed in the bedroom bigger than the bed in the attic? A) Yes B) No C) They are the same size D) Cannot be determined. Answer:,B,Comparison,00672-4L4peQsMgfR_0.png
00053-kAMF2R7PCqX,0,Is the door made of the same material as the frame in the hallway?,"['Yes', 'No', 'Only the door is wood', 'Only the frame is wood']",Is the door made of the same material as the frame in the hallway? A) Yes B) No C) Only the door is wood D) Only the frame is wood. Answer:,A,Relationship,00053-kAMF2R7PCqX_1.png
00418-t6tH2pNA9X5,0,Is the kitchen sink closer to the windows than the dining table in the house?,"['Yes', 'No', 'They are equally close', 'Cannot determine']",Is the kitchen sink closer to the windows than the dining table in the house? A) Yes B) No C) They are equally close D) Cannot determine. Answer:,A,Relationship,00418-t6tH2pNA9X5_1.png
00790-qQgcM8T4hiD,0,Does the ceiling share the same color as the floor in the rooms?,"['Yes', 'No', 'Partially', 'Cannot be determined']",Does the ceiling share the same color as the floor in the rooms? A) Yes B) No C) Partially D) Cannot be determined. Answer:,A,Comparison,00790-qQgcM8T4hiD_1.png
00476-NtnvZSMK3en,0,Is the bed closer to the shelf with toys in the room with purple walls compared to the other rooms?,"['Yes', 'No', 'Same distance', 'Cannot determine']",Is the bed closer to the shelf with toys in the room with purple walls compared to the other rooms? A) Yes B) No C) Same distance D) Cannot determine. Answer:,A,Comparison,00476-NtnvZSMK3en_0.png
00279-YmEfzspXX5h,0,Is the cabinet closer to the ceiling than the shelves in the house?,"['Yes', 'No', 'They are at the same height', 'Cannot determine']",Is the cabinet closer to the ceiling than the shelves in the house? A) Yes B) No C) They are at the same height D) Cannot determine. Answer:,B,Comparison,00279-YmEfzspXX5h_0.png
00489-boJrpwDQtu9,0,Does the window reflect light in the same way as the mirror in the house?,"['Yes', 'No', 'Only during the daytime', 'Only during the nighttime']",Does the window reflect light in the same way as the mirror in the house? A) Yes B) No C) Only during the daytime D) Only during the nighttime. Answer:,B,Comparison,00489-boJrpwDQtu9_0.png
00841-SByzJLxpRGn,0,Does the refrigerator in the kitchen share the same material as the mirror on the wall?,"['Yes', 'No', 'They are partially similar', 'Cannot tell from the images']",Does the refrigerator in the kitchen share the same material as the mirror on the wall? A) Yes B) No C) They are partially similar D) Cannot tell from the images. Answer:,A,Comparison,00841-SByzJLxpRGn_0.png
00416-zCMdfYaW9iF,0,Is the glass sliding door closer to the outdoor chairs than the kitchen sink in the kitchen?,"['Yes', 'No', 'They are equidistant', 'Cannot determine']",Is the glass sliding door closer to the outdoor chairs than the kitchen sink in the kitchen? A) Yes B) No C) They are equidistant D) Cannot determine. Answer:,A,Relationship,00416-zCMdfYaW9iF_1.png
